site_id,accuracy,cdli_provenience_id,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
ADA,2,0,,Adalar,,,,,,,,,,https://www.openstreetmap.org/node/8111965224,,,,,,,,,,42.5142,39.1240
ADB,3,252,Adab,Bismāyā,بسمايا,,,,,,,Adab (mod. Bismaya),https://pleiades.stoa.org/places/787747618,https://www.openstreetmap.org/node/2482344888,,https://en.wikipedia.org/wiki/Adab_(city),https://ar.wikipedia.org/wiki/أداب_(مدينة),,,,,,https://wikidata.org/wiki/Q346445,45.6233,31.9509
ADH,1,0,,Tall Abu al-Dhahab,تل أبو الذهب,,,,,,,NULL,,https://www.openstreetmap.org/node/2487982329,https://www.geonames.org/91040,,,,,,,,,46.6926,30.7382
ADI,1,0,,Adilcevaz,,,,,,,,,,https://www.openstreetmap.org/node/10072716064,,https://en.wikipedia.org/wiki/Adilcevaz,,,,,https://tr.wikipedia.org/wiki/Adilcevaz,,,42.7291,38.8014
AFA,3,0,,Tulūl al-Fāj,تلول الفاج,,,,,,,,,https://www.openstreetmap.org/node/2480233005,,,,,,,,,,45.0956,32.5741
AGR,3,102,,Tall Ajrab,تل اجرب,,,,,,,uncertain (mod. Tell Agrab),https://pleiades.stoa.org/places/171585551,,,https://en.wikipedia.org/wiki/Tell_Agrab,https://ar.wikipedia.org/wiki/تل_أغرب,,,,,,https://wikidata.org/wiki/Q1612336,44.8742,33.3391
AHT,2,0,,Ahtamar,,,,,,,,,,https://www.openstreetmap.org/way/191563482,https://www.geonames.org/324757,https://en.wikipedia.org/wiki/Akdamar_Island,,,,,https://tr.wikipedia.orgwiki/Akdamar_Adası,,,43.0370,38.3401
AIR,1,0,,‘Ayn-i Rūm,,,عین الروم,,,,,,https://pleiades.stoa.org/places/874307,,,,,,,,,,,45.1320,37.1837
AJA,1,0,,Abū Jāmūs,ابو جاموس,,,,,,,Abu Jamous,,https://www.openstreetmap.org/node/2486175069,https://www.geonames.org/6787705,,,,,,,,,44.8225,32.4605
AJJ,3,118,Shaddikanni,Tall ‘Ajājah,تل عجاجة,,,,,,,Šaddikanni (mod. Tell Ajaja),https://pleiades.stoa.org/places/874688,https://www.openstreetmap.org/node/3377375046,,,,,,,,,,40.7205,36.2082
AKH,3,266,Akhetaten,Al-‘Amārnah,العمارنة,,,,,,,Akhetaten (mod. el-Amarna),https://pleiades.stoa.org/places/149576487,https://www.openstreetmap.org/way/102555365,https://www.geonames.org/12119893,https://en.wikipedia.org/wiki/Amarna,https://ar.wikipedia.org/wiki/تل_العمارنة,,,,,,https://wikidata.org/wiki/Q5736,30.8959,27.6400
ALA,3,162,Alalah,Tel Açana,تل العطشانة,,,,,,,Alalakh (mod. Tell Açana) : uncertain (mod. Tell Atshana),https://pleiades.stoa.org/places/309866128,https://www.openstreetmap.org/way/144312399,https://www.geonames.org/438064,https://en.wikipedia.org/wiki/Alalakh,,,,,,,https://wikidata.org/wiki/Q575249,36.3842,36.2377
