site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
ADA,0,2,,Adalar,,,,,,,,,https://pleiades.stoa.org/places/706269691,https://www.openstreetmap.org/node/8111965224,,,,,,,,,,42.5142,39.1240
ADB,252,3,Adab,Bismāyā,بسمايا,,,,,,,Adab (mod. Bismaya),https://pleiades.stoa.org/places/787747618,https://www.openstreetmap.org/node/2482344888,,https://en.wikipedia.org/wiki/Adab_(city),https://ar.wikipedia.org/wiki/أداب_(مدينة),,,,,,https://wikidata.org/wiki/Q346445,45.6233,31.9509
ADH,0,3,,Tall Abū al-Dhahab,تل أبو الذهب,,,,,,,,https://pleiades.stoa.org/places/533938999,,https://www.geonames.org/91040,,,,,,,,,46.6926,30.7382
ADI,0,1,,Adilcevaz,,,,,,,,,https://pleiades.stoa.org/places/533939000,https://www.openstreetmap.org/node/10072716064,,https://en.wikipedia.org/wiki/Adilcevaz,,,,,https://tr.wikipedia.org/wiki/Adilcevaz,,https://wikidata.org/wiki/Q357251,42.7291,38.8014
AFA,0,3,,Tulūl al-Fāj,تلول الفاج,,,,,,,,https://pleiades.stoa.org/places/298059636,https://www.openstreetmap.org/node/2480233005,,,,,,,,,,45.0956,32.5741
AFI,0,3,,Tall Āfis,تل افس,,,,,,,,https://pleiades.stoa.org/places/725486993,https://www.openstreetmap.org/way/686673979,,https://en.wikipedia.org/wiki/Tell_Afis,https://ar.wikipedia.org/wiki/تل_آفس,,,,,,https://wikidata.org/wiki/Q7697374,36.7988,35.9039
AGR,102,3,,Tall Ajrab,تل اجرب,,,,,,,uncertain (mod. Tell Agrab),https://pleiades.stoa.org/places/171585551,,,https://en.wikipedia.org/wiki/Tell_Agrab,https://ar.wikipedia.org/wiki/تل_أغرب,,,,,,https://wikidata.org/wiki/Q1612336,44.8742,33.3391
AHT,0,2,,Ahtamar,,,,,,,,,https://pleiades.stoa.org/places/359852689,https://www.openstreetmap.org/way/191563482,https://www.geonames.org/324757,https://en.wikipedia.org/wiki/Akdamar_Island,,,,,https://tr.wikipedia.org/wiki/Akdamar_Adası,,,43.0370,38.3401
AIR,0,1,,‘Ayn-i Rūm,,,عین الروم,,,,,,https://pleiades.stoa.org/places/622816458,,,,,,,,,,,45.1320,37.1837
AJA,0,3,,Abū Jāmūs,ابو جاموس,,,,,,,Abu Jamous,https://pleiades.stoa.org/places/903251933,https://www.openstreetmap.org/node/2486175069,https://www.geonames.org/6787705,,,,,,,,,44.8225,32.4605
AJJ,118,3,Shaddikanni,Tall ‘Ajājah,تل عجاجة,,,,,,,Šaddikanni (mod. Tell Ajaja),https://pleiades.stoa.org/places/874688,https://www.openstreetmap.org/node/3377375046,,,,,,,,,,40.7205,36.2082
AKH,266,3,Akhetaten,Al-‘Amārnah,العمارنة,,,,,,,Akhetaten (mod. el-Amarna),https://pleiades.stoa.org/places/149576487,https://www.openstreetmap.org/way/102555365,https://www.geonames.org/12119893,https://en.wikipedia.org/wiki/Amarna,https://ar.wikipedia.org/wiki/تل_العمارنة,,,,,,https://wikidata.org/wiki/Q5736,30.8959,27.6400
ALA,162,3,Alalah,Tall al-‘Aṭshānah,تل العطشانة,,,,,,,Alalakh (mod. Tell Açana) : uncertain (mod. Tell Atshana) Tel Açana,https://pleiades.stoa.org/places/309866128,https://www.openstreetmap.org/way/144312399,https://www.geonames.org/438064,https://en.wikipedia.org/wiki/Alalakh,,,,,,,https://wikidata.org/wiki/Q575249,36.3842,36.2377
ALH,0,3,,Alaça Höyuk,,,,,,,,,https://pleiades.stoa.org/places/991964195,https://www.openstreetmap.org/way/171691586,https://www.geonames.org/745464,https://en.wikipedia.org/wiki/Alaca_Höyük,,,,,https://tr.wikipedia.org/wiki/Alacahöyük,,https://wikidata.org/wiki/Q558861,34.6951,40.2344
ALI,0,2,,Aliler,,,,,,,,,https://pleiades.stoa.org/places/291498921,,,,,,,,,,,43.4868,38.8548
ALS,227,3,Ankuwa,Alişar Hüyük,,,,,,,,uncertain (mod. Alisar),https://pleiades.stoa.org/places/650309285,https://www.openstreetmap.org/way/183053062,,https://en.wikipedia.org/wiki/Alişar_Hüyük,,,,,https://tr.wikipedia.org/wiki/Alişar_Höyüğü,,,35.2614,39.6059
ALT,0,3,,Altıntepe,,,,,,,,,https://pleiades.stoa.org/places/874316,https://www.openstreetmap.org/way/130188095,,https://en.wikipedia.org/wiki/Altıntepe,,,,,https://tr.wikipedia.org/wiki/Altıntepe,,,39.6467,39.6964
AMC,0,1,,‘Ammān,عَمَّان‎,,,,,,,,https://pleiades.stoa.org/places/991530128,,,,,,,,,,,35.9377,31.9539
AMD,179,3,,Tall ʻĀmūdā,تل عامودا,,,,,,,uncertain (mod. Amuda) ?,https://pleiades.stoa.org/places/874318,,,,,,,,,,,40.9293,37.0972
AMM,0,2,,Maṭār ‘Ammān al-Madanī,مطار عمان المدني,,,,,,,,https://pleiades.stoa.org/places/859811421,,,,,,,,,,,35.9813,31.9713
ANS,286,3,Anšan,Tal-i Malyān,,,تل ملیان,,,,,Anšan (mod. Tell Malyan),https://pleiades.stoa.org/places/922729,https://www.openstreetmap.org/node/3323694495,https://www.geonames.org/125047,https://en.wikipedia.org/wiki/Malyan%2C_Fars,,https://fa.wikipedia.org/wiki/ملیان_(بیضا),,,,,,52.4123,30.0119
ANT,298,3,Pī-Kasî,Tall Abū ‘Antīk,تل أبو عنتيك,,,,,,,,https://pleiades.stoa.org/places/552857304,,,,,,,,,,,44.6393,32.1311
ANZ,0,2,,Dereüstü,,,,,,,,,https://pleiades.stoa.org/places/192395067,https://www.openstreetmap.org/node/1860375427,https://www.geonames.org/316914,,,,,,,,https://wikidata.org/wiki/Q1914639,43.4700,38.5563
