site_id,cdli_provenience_id,accuracy,anc_name,transc_name,ara_name,arm_name,fas_name,geo_name,gre_name,heb_name,rus_name,legacy_name,pleiades_url,osm_url,geonames_url,wik_en,wik_ara,wik_fas,wik_gre,wik_heb,wik_tr,rla_url,wikidata_url,lon_wgs1984,lat_wgs1984
ADA,https://cdli.mpiwg-berlin.mpg.de/proveniences/657,2,,Adalar,,,,,,,,uncertain (mod. Adalar),https://pleiades.stoa.org/places/706269691,https://www.openstreetmap.org/node/8111965224,,,,,,,,,,42.5142,39.124
ADB,https://cdli.mpiwg-berlin.mpg.de/proveniences/252,3,Adab,Bismāyā,بسمايا,,,,,,,Adab (mod. Bismaya),https://pleiades.stoa.org/places/787747618,https://www.openstreetmap.org/node/2482344888,,https://en.wikipedia.org/wiki/Adab_(city),https://ar.wikipedia.org/wiki/أداب_(مدينة),,,,,,https://wikidata.org/wiki/Q346445,45.6233,31.9509
ADH,https://cdli.mpiwg-berlin.mpg.de/proveniences/658,3,,Tall Abū al-Dhahab,تل أبو الذهب,,,,,,,uncertain (mod. Tall Abū al-Dhahab),https://pleiades.stoa.org/places/533938999,,https://www.geonames.org/91040,,,,,,,,,46.6926,30.7382
ADI,https://cdli.mpiwg-berlin.mpg.de/proveniences/659,1,,Adilcevaz,,,,,,,,uncertain (mod. Adilcevaz),https://pleiades.stoa.org/places/533939000,https://www.openstreetmap.org/node/10072716064,,https://en.wikipedia.org/wiki/Adilcevaz,,,,,https://tr.wikipedia.org/wiki/Adilcevaz,,https://wikidata.org/wiki/Q357251,42.7291,38.8014
AFA,https://cdli.mpiwg-berlin.mpg.de/proveniences/660,3,,Tulūl al-Fāj,تلول الفاج,,,,,,,uncertain (mod. Tulūl al-Fāj),https://pleiades.stoa.org/places/298059636,https://www.openstreetmap.org/node/2480233005,,,,,,,,,,45.0956,32.5741
AFI,https://cdli.mpiwg-berlin.mpg.de/proveniences/661,3,,Tall Āfis,تل افس,,,,,,,uncertain (mod. Tall Āfis),https://pleiades.stoa.org/places/725486993,https://www.openstreetmap.org/way/686673979,,https://en.wikipedia.org/wiki/Tell_Afis,https://ar.wikipedia.org/wiki/تل_آفس,,,,,,https://wikidata.org/wiki/Q7697374,36.7988,35.9039
AGR,https://cdli.mpiwg-berlin.mpg.de/proveniences/102,3,,Tall Ajrab,تل اجرب,,,,,,,uncertain (mod. Tell Agrab),https://pleiades.stoa.org/places/171585551,,,https://en.wikipedia.org/wiki/Tell_Agrab,https://ar.wikipedia.org/wiki/تل_أغرب,,,,,,https://wikidata.org/wiki/Q1612336,44.8742,33.3391
AHT,https://cdli.mpiwg-berlin.mpg.de/proveniences/662,2,,Ahtamar,,,,,,,,uncertain (mod. Ahtamar),https://pleiades.stoa.org/places/359852689,https://www.openstreetmap.org/way/191563482,https://www.geonames.org/324757,https://en.wikipedia.org/wiki/Akdamar_Island,,,,,https://tr.wikipedia.org/wiki/Akdamar_Adası,,,43.037,38.3401
AIR,https://cdli.mpiwg-berlin.mpg.de/proveniences/663,1,,‘Ayn-i Rūm,,,عین الروم,,,,,uncertain (mod. ‘Ayn-i Rūm),https://pleiades.stoa.org/places/622816458,,,,,,,,,,,45.132,37.1837
AJA,https://cdli.mpiwg-berlin.mpg.de/proveniences/664,3,,Abū Jāmūs,ابو جاموس,,,,,,,uncertain (mod. Abū Jāmūs),https://pleiades.stoa.org/places/903251933,https://www.openstreetmap.org/node/2486175069,https://www.geonames.org/6787705,,,,,,,,,44.8225,32.4605
AJJ,https://cdli.mpiwg-berlin.mpg.de/proveniences/118,3,Shaddikanni,Tall ‘Ajājah,تل عجاجة,,,,,,,Shaddikanni (mod. Tell Ajaja),https://pleiades.stoa.org/places/874688,https://www.openstreetmap.org/node/3377375046,,,,,,,,,,40.7205,36.2082
AKH,https://cdli.mpiwg-berlin.mpg.de/proveniences/266,3,Akhetaten,Al-‘Amārnah,العمارنة,,,,,,,Akhetaten (mod. el-Amarna),https://pleiades.stoa.org/places/149576487,https://www.openstreetmap.org/way/102555365,https://www.geonames.org/12119893,https://en.wikipedia.org/wiki/Amarna,https://ar.wikipedia.org/wiki/تل_العمارنة,,,,,,https://wikidata.org/wiki/Q5736,30.8959,27.64
ALA,https://cdli.mpiwg-berlin.mpg.de/proveniences/162,3,Alalah,Tall al-‘Aṭshānah,تل العطشانة,,,,,,,Alalakh (mod. Tell Açana/Atshana),https://pleiades.stoa.org/places/309866128,https://www.openstreetmap.org/way/144312399,https://www.geonames.org/438064,https://en.wikipedia.org/wiki/Alalakh,,,,,,,https://wikidata.org/wiki/Q575249,36.3842,36.2377
ALH,https://cdli.mpiwg-berlin.mpg.de/proveniences/665,3,,Alaça Höyuk,,,,,,,,,https://pleiades.stoa.org/places/991964195,https://www.openstreetmap.org/way/171691586,https://www.geonames.org/745464,https://en.wikipedia.org/wiki/Alaca_Höyük,,,,,https://tr.wikipedia.org/wiki/Alacahöyük,,https://wikidata.org/wiki/Q558861,34.6951,40.2344
ALI,https://cdli.mpiwg-berlin.mpg.de/proveniences/666,2,,Aliler,,,,,,,,,https://pleiades.stoa.org/places/291498921,,,,,,,,,,,43.4868,38.8548
ALS,https://cdli.mpiwg-berlin.mpg.de/proveniences/227,3,Ankuwa,Alişar Hüyük,,,,,,,,,https://pleiades.stoa.org/places/650309285,https://www.openstreetmap.org/way/183053062,,https://en.wikipedia.org/wiki/Alişar_Hüyük,,,,,https://tr.wikipedia.org/wiki/Alişar_Höyüğü,,,35.2614,39.6059
ALT,https://cdli.mpiwg-berlin.mpg.de/proveniences/667,3,,Altıntepe,,,,,,,,uncertain (mod. Altıntepe),https://pleiades.stoa.org/places/874316,https://www.openstreetmap.org/way/130188095,,https://en.wikipedia.org/wiki/Altıntepe,,,,,https://tr.wikipedia.org/wiki/Altıntepe,,,39.6467,39.6964
AMC,https://cdli.mpiwg-berlin.mpg.de/proveniences/668,1,,‘Ammān,عَمَّان‎,,,,,,,uncertain (mod. ‘Ammān),https://pleiades.stoa.org/places/991530128,,,,,,,,,,,35.9377,31.9539
AMD,https://cdli.mpiwg-berlin.mpg.de/proveniences/179,3,,Tall ʻĀmūdā,تل عامودا,,,,,,,Kulišhinaš (mod. Amuda),https://pleiades.stoa.org/places/874318,,,,,,,,,,,40.9293,37.0972
